CALL_ID,C_DAY,C_MONTH,C_YEAR,C_HOUR,C_MINUTE,SERVICE_NUMBER#,QUEUE,ADMIN_STATUS,OPERATION_STATUS,ACCOUNT_ID#,Language_chosen,CALLTYPE
64532743,26,12,2022,22,56,503740179,Other,,,115930000069103918,Arabic,
390730243,22,March,2021,16,7,227418548,Other,,,100790000031012496,Arabic,Technical
465065798,24,October,2021,14,33,473018672,Other,,,111500000021768254,Arabic,Technical
486608591,1,January,2022,16,56,503488649,Other,enabled,up,113792230005839644,Arabic,Technical
492462892,20,January,2022,16,20,501993039,Other,enabled,down,107530000022606801,Arabic,Technical
440306421,1,August,2021,22,45,404323169,Other,enabled,up,106650000085915005,Arabic,Technical
456767626,27,September,2021,19,27,502002093,Other,,,114920000110502107,Arabic,Technical
385034674,4,March,2021,16,26,228825185,Other,,,100390000087292303,Arabic,Technical
411261842,16,May,2021,23,15,452821572,Other,,,111862230002085844,Arabic,Technical
393579832,29,March,2021,21,18,235851556,XDSL,,,115422230005551072,Arabic,Technical
462570722,26,04,2025,12,30,244303411,Other,,,108880000031201505,Arabic,
397551692,3,01,2025,20,48,481938830,Other,,,113810000028075766,Arabic,
413224831,23,May,2021,16,57,573374320,Other,,,116082230001780508,Arabic,Technical
387194567,11,March,2021,12,14,503383529,Other,,,102112230001621399,Arabic,Technical
389995950,20,March,2021,16,45,226236863,Other,enabled,down,113142230003804091,Arabic,Technical
483734818,24,December,2021,17,38,244487339,Other,enabled,up,113050000086836514,Arabic,Technical
492541238,20,January,2022,20,1,643034455,XDSL,enabled,up,105992230003544220,Arabic,Technical
414833265,17,February,2021,13,3,32914208,Other,enabled,down,118920000033032935,Arabic,Technical
419036777,11,June,2021,13,0,224575107,Sales,,,115080000044834478,Arabic,Technical
493584488,24,January,2022,11,24,683401761,XDSL,enabled,up,101010000026797099,Arabic,Technical
492425166,20,January,2022,14,24,238018827,Other,,,104310000055206286,Arabic,Technical
435181765,15,July,2021,10,57,402061410,XDSL,enabled,down,115902230005734925,Arabic,Sales
520186380,10,April,2022,21,35,663648087,Technical,enabled,up,108780000095441841,Arabic,Technical
477834187,5,December,2021,21,55,453226872,Other,enabled,up,114142230006863051,Arabic,Technical
398490822,10,07,2024,7,14,554271836,Other,,,111632230005151170,Other,
495401023,29,January,2022,20,16,643137460,Other,enabled,up,111530000023894742,Arabic,Technical
441051827,4,August,2021,11,22,35752268,XDSL,enabled,up,110132230005156880,Arabic,Technical
408925212,9,May,2021,1,7,683246945,Other,,,112622230002166769,Arabic,Technical
523519156,20,April,2022,19,22,504208999,Other,enabled,down,114770000082214220,Arabic,Technical
402560114,10,January,2021,11,10,238048167,XDSL,enabled,down,112080000061377894,Arabic,Technical
535632658,27,May,2022,18,41,402143467,Other,enabled,up,101360000111649338,Arabic,Technical
414623473,16,February,2021,22,24,243012308,Other,enabled,up,106502230003722984,Arabic,Technical
519063415,7,April,2022,2,55,453250451,Other,enabled,up,118570000036817235,Arabic,Technical
447750293,28,August,2021,5,8,235741790,XDSL,enabled,down,119420000047891374,Arabic,Technical
418108148,8,June,2021,15,48,220375858,Technical,,,102740000041327394,Arabic,Technical
488758208,8,January,2022,17,30,884702763,Other,,,108170000036842180,Arabic,Technical
487806272,5,January,2022,12,22,237152270,Other,enabled,up,114440000031320163,Arabic,Technical
508135030,9,March,2022,1,2,228502010,XDSL,enabled,down,116010000023182760,Arabic,Sales
457882576,30,September,2021,19,54,224142868,Other,enabled,up,112692230004657890,Arabic,Technical
390963037,23,March,2021,2,21,233735699,Other,,,112592230001502588,Arabic,Technical
402537764,10,January,2021,9,32,222921055,XDSL,enabled,up,105550000119293020,Arabic,Technical
402629936,19,April,2021,13,17,235752261,Other,,,111400000049763600,Arabic,Technical
547092314,26,June,2022,15,52,452326446,Other,,,102230000071692279,Arabic,Technical
431954150,5,July,2021,12,28,483291208,Other,,,113742230005356166,Arabic,Technical
542857133,16,June,2022,18,14,862193727,XDSL,enabled,up,113940000049342647,Arabic,Technical
410956126,15,May,2021,23,5,236653678,Other,,,105250000032829069,Arabic,Technical
502966982,21,February,2022,8,57,133275290,Other,,,111022230007283176,Other,Technical
422191205,15,June,2021,13,51,238046100,XDSL,,,114592230002565508,Arabic,Technical
415356685,18,February,2021,16,26,554342948,Other,enabled,up,101000000016454299,Arabic,Technical
429652308,28,June,2021,18,55,402806818,Other,disabled,down,111282230007680151,Arabic,Technical
416065448,1,June,2021,18,12,224386854,Other,,,116452230006496944,Arabic,Technical
406364739,1,May,2021,1,16,501993039,Other,,,107530000022606801,Arabic,Technical
406977660,2,May,2021,21,26,404202588,Other,,,112382230005632410,Arabic,Technical
491543950,17,January,2022,19,13,225822279,Other,enabled,up,107440000021610030,Arabic,Technical
454212476,20,September,2021,21,7,232967189,XDSL,enabled,up,111962230008160826,Arabic,Sales
536001916,28,May,2022,19,35,235535859,Other,enabled,up,111892230003654433,Arabic,Technical
436825090,20,July,2021,16,50,228644357,XDSL,enabled,down,115072230005797023,Arabic,Technical
461890774,13,October,2021,17,1,238742840,Other,enabled,up,114552230003344829,Arabic,Technical
410915098,5,February,2021,20,28,233055804,Other,enabled,up,112050000036518549,Arabic,Sales
413354891,13,February,2021,13,50,402117043,XDSL,enabled,down,115450000033280474,Arabic,Technical
198193021,5,10,2023,18,48,553256257,Other,,,113010000031991799,Arabic,
426815382,21,June,2021,14,52,227411588,XDSL,,,111530000042045012,Arabic,Technical
387103272,11,March,2021,0,8,224299099,XDSL,,,104530000117159928,Arabic,Technical
439278810,29,July,2021,16,56,482178545,Other,enabled,up,115462230004842486,Arabic,Technical
493072793,22,January,2022,17,26,35747888,Other,enabled,up,103272230000344418,Arabic,Technical
418528977,9,June,2021,21,36,247947799,Other,,,103700000037791776,Other,Technical
431457219,3,July,2021,20,51,32924292,XDSL,enabled,up,107320000063445275,Arabic,Technical
404115774,23,April,2021,22,35,226283984,XDSL,,,114242230003702081,Arabic,Technical
490178996,13,January,2022,13,14,227224507,XDSL,enabled,up,102350000034038345,Arabic,Technical
507621808,7,March,2022,17,4,842053671,Other,,,112062230004980174,Arabic,Technical
469615320,7,November,2021,22,35,236956530,Other,enabled,down,105580000021952994,Arabic,Technical
489711122,11,January,2022,20,47,34287060,Other,,,102330000081734350,Arabic,Technical
458323042,1,October,2021,21,42,403443131,Other,,,105970000042074254,Arabic,Technical
406300036,30,April,2021,22,35,482401945,XDSL,,,121700000068725030,Arabic,Technical
497636753,5,February,2022,12,43,473005117,XDSL,enabled,up,111872230004814707,Arabic,Sales
405732019,19,January,2021,13,19,483310282,Other,enabled,up,102630000034271053,Arabic,Technical
402727940,10,January,2021,18,9,552572485,Other,enabled,up,102320000118818238,Arabic,Technical
411990242,19,May,2021,13,2,226533637,Other,,,109310000018324477,Arabic,Technical
481088310,16,December,2021,21,1,502308493,Other,enabled,up,111402230004401879,Arabic,Technical
417374915,24,February,2021,13,55,504782023,XDSL,enabled,down,118560000035841134,Arabic,Technical
411496411,17,May,2021,18,50,504782023,XDSL,,,118560000035841134,Arabic,Technical
477614199,5,December,2021,9,13,224840866,Other,,,111682230000747823,Arabic,Technical
536605150,30,May,2022,10,4,503699969,Other,,,113790000029401265,Arabic,Technical
428741768,26,June,2021,0,24,228523344,Other,enabled,up,102510000019180514,Arabic,Technical
61350215,21,12,2022,0,25,235090435,Other,,,109030000021252960,Arabic,
501050487,15,February,2022,14,27,504434917,XDSL,enabled,up,115792230007099830,Arabic,Sales
414051887,15,February,2021,16,18,452759177,Other,enabled,up,113162230004269807,Arabic,Technical
476868324,2,December,2021,15,29,623384804,Other,,,115020000109383504,Arabic,Technical
387738543,13,March,2021,11,13,227080244,Other,,,116242230007845729,Arabic,Technical
393620576,29,March,2021,22,31,33322319,XDSL,,,113002230000820238,Arabic,Technical
404432338,15,January,2021,16,17,35424317,Other,enabled,down,115180000069514134,Arabic,Technical
541995615,14,June,2022,8,58,404363570,XDSL,enabled,down,108480000065201730,Arabic,Technical
400192040,11,April,2021,17,27,225637153,Other,,,113192230005514342,Arabic,Technical
457723968,30,September,2021,12,51,472477117,Other,enabled,down,114042230005458443,Arabic,Technical
448609283,31,August,2021,11,18,226533637,Other,enabled,up,109310000018324477,Arabic,Technical
489603923,11,January,2022,16,5,35344983,Sales,,,132960000111067943,Arabic,Sales
422154541,15,June,2021,13,9,237284994,XDSL,,,115282230001814505,Arabic,Technical
410766196,5,February,2021,13,4,227477416,XDSL,enabled,up,133050000117436214,Arabic,Technical
399552569,1,January,2021,18,55,226168844,Other,enabled,up,131570000112580207,Arabic,Technical
387629283,12,March,2021,20,28,453280878,Other,,,107060000038312769,Arabic,Technical
508881826,11,March,2022,11,54,227228158,Other,enabled,up,116332230004909703,Arabic,Technical
414056924,26,May,2021,11,46,235347858,Other,,,135800000120752860,Arabic,Sales
409781123,2,February,2021,11,32,220693541,Other,,,132760000112451960,Arabic,Technical
405782713,19,January,2021,15,19,502285531,Other,enabled,up,100950000114462642,Arabic,Technical
449776864,4,September,2021,16,26,228602329,XDSL,enabled,down,117930000056919953,Arabic,Technical
503552903,22,February,2022,23,41,483755728,Other,enabled,down,108750000023318628,Arabic,Technical
415550041,19,February,2021,0,3,244600967,XDSL,enabled,up,116500000101493752,Arabic,Technical
531020452,14,May,2022,17,47,683266517,Other,enabled,up,103770000033987194,Arabic,Technical
445676780,20,August,2021,14,39,932007334,Other,,,114702230007609381,Arabic,Technical
461218452,11,October,2021,7,4,224131814,XDSL,enabled,up,112162230002267259,Arabic,Technical
358104943,21,04,2024,21,10,504651474,Other,,,111502230006384198,Other,
386077579,7,March,2021,22,56,237118399,XDSL,,,107180000023201544,Arabic,Technical
528877586,7,May,2022,18,12,228830542,Other,,,110700000034592128,Other,Technical
503154710,21,February,2022,19,40,227103343,Other,,,110100000112991086,Arabic,Technical
536331633,29,May,2022,17,39,963336157,XDSL,enabled,up,112242230002371440,Arabic,Technical
416573288,3,June,2021,12,18,882299606,XDSL,,,103160000022025468,Arabic,Technical
547651380,27,June,2022,19,25,963128643,XDSL,enabled,up,109250000049285220,Arabic,Technical
88996152,22,02,2023,21,11,236590026,Other,,,103600000017003929,Arabic,
503299187,22,February,2022,10,44,220996966,Other,enabled,down,116550000058223569,Arabic,Technical
511489159,19,March,2022,12,22,223577856,Other,disabled,down,112192230006033775,Arabic,Technical
391176440,23,March,2021,16,54,223292397,Other,enabled,down,116292230003056941,Arabic,Technical
407249791,3,May,2021,20,0,453074788,XDSL,,,105450000095149963,Arabic,Technical
505710024,2,March,2022,10,10,228783139,Other,-2,-2,115740000057473726,Arabic,Technical
451046344,9,September,2021,13,16,974614837,Other,,,115380000042399577,Arabic,Technical
485163987,28,December,2021,16,36,554342948,XDSL,enabled,up,101000000016454299,Arabic,Technical
401029965,14,April,2021,14,48,453805571,Other,,,105680000026524495,Arabic,Technical
425453936,19,June,2021,15,6,35462618,Other,,,102470000119590405,Arabic,Technical
392544147,27,March,2021,13,3,228805811,XDSL,,,117310000071508865,Arabic,Technical
518888434,6,April,2022,18,44,228805811,Other,disabled,down,117310000071508865,Arabic,Technical
418813588,10,June,2021,20,32,452843184,XDSL,,,111402230007063988,Arabic,Technical
415624942,31,May,2021,11,54,238401808,Other,,,120630000081692805,Arabic,Technical
494953808,28,January,2022,14,18,452748002,XDSL,enabled,up,115010000033158158,Arabic,Sales
385661217,6,March,2021,19,57,224813960,XDSL,,,115340000061841222,Arabic,Technical
403640051,22,April,2021,12,37,226897016,Other,,,116012230000750192,Arabic,Technical
417670252,25,February,2021,11,21,235608244,Other,enabled,down,112070000071991621,Arabic,Technical
405820765,22,07,2024,19,1,502869138,Other,,,125590000087260142,Other,
415430810,18,February,2021,19,25,483749150,Other,,,111812230007337891,Arabic,Technical
392951619,28,March,2021,16,5,483211383,Other,enabled,down,131230000120298419,Arabic,Technical
417119609,5,June,2021,10,47,225319237,XDSL,,,110540000111191429,Arabic,Sales
422183192,15,June,2021,13,45,227802302,Other,,,113180000032298043,Arabic,Technical
355919600,15,10,2024,10,7,683440919,Other,,,101880000015343127,Arabic,
451209663,9,September,2021,22,55,504434917,Other,enabled,up,115792230007099830,Arabic,Technical
435538114,16,July,2021,13,43,402092178,XDSL,enabled,down,103310000023360838,Arabic,Technical
505949201,2,March,2022,19,28,236947379,Other,,,109890000015550788,Arabic,Technical
450347226,6,September,2021,19,6,623556180,Other,enabled,up,103830000016443667,Arabic,Technical
508978789,11,March,2022,17,12,404628183,XDSL,enabled,down,111732230007614843,Arabic,Technical
401080354,5,January,2021,21,47,862309559,Other,enabled,down,111082230005507357,Arabic,Technical
459874359,6,October,2021,9,5,35273940,Other,enabled,down,105962230001080769,Arabic,Technical
412000867,9,February,2021,9,20,553871697,XDSL,enabled,down,102132230006920800,Arabic,Technical
395190939,2,April,2021,13,40,227320964,Other,,,112532230004823285,Arabic,Technical
450840834,8,September,2021,16,51,222607214,Other,enabled,up,114362230001158259,Arabic,Technical
405198811,17,January,2021,17,7,502055913,Billing,enabled,up,101680000108712697,Arabic,Technical
61219238,4,11,2022,20,42,962202447,Other,,,112960000100244990,Other,
418307664,9,June,2021,7,0,224347731,Technical,,,108370000019669421,Arabic,Technical
454987534,22,September,2021,21,49,882448031,XDSL,enabled,up,111932230006118136,Arabic,Sales
354539085,12,10,2024,15,1,228491707,Other,,,134740000110136705,Arabic,
437196590,22,July,2021,3,47,226340453,Other,enabled,up,110922230000662955,Arabic,Technical
437994425,25,July,2021,12,32,34493091,Other,enabled,up,114752230000852510,Arabic,Technical
529472990,9,May,2022,17,10,242206005,XDSL,enabled,up,109220000029300773,Arabic,Technical
269608189,19,11,2023,20,11,402526964,Other,,,111610000090857609,Other,
396143426,4,April,2021,20,44,503511668,Other,,,114550000116872482,Other,Technical
443477754,12,August,2021,15,7,34147616,Other,,,111132230001796519,Arabic,Technical
472798502,18,November,2021,19,35,503488649,Other,,,113792230005839644,Arabic,Technical
505709147,2,March,2022,10,8,228783139,Other,-2,-2,115740000057473726,Arabic,Technical
522579782,18,April,2022,11,32,223910165,Other,enabled,up,111550000061467529,Arabic,Technical
426540153,20,June,2021,22,45,221893685,Other,,,104180000029169203,Arabic,Technical
407917158,26,January,2021,21,37,483840861,Other,enabled,up,103790000020519347,Arabic,Technical
465601801,26,October,2021,8,53,402878775,Other,enabled,up,107880000029780632,Arabic,Technical
522931767,19,April,2022,11,25,225683322,Other,,,117190000054828948,Arabic,Sales
403483115,12,January,2021,21,2,224501004,XDSL,enabled,up,101030000072750229,Arabic,Technical
429285193,27,June,2021,19,15,882269463,Other,,,109762230007847642,Arabic,Technical
465063087,24,October,2021,14,19,227003810,Other,,,113760000032614193,Arabic,Technical
465223388,24,October,2021,21,56,34148739,XDSL,enabled,down,110120000071628909,Arabic,Sales
527946246,4,May,2022,13,3,35399280,Other,enabled,up,116482230003805554,Arabic,Technical
389344672,18,March,2021,8,50,482711522,XDSL,,,108600000039577896,Arabic,Technical
454592746,21,September,2021,23,12,226903615,Other,-2,-2,116060000032412366,Arabic,Technical
412623820,21,May,2021,15,56,643039627,Other,,,101990000113428684,Arabic,Sales
440429936,2,August,2021,13,1,482442930,Other,enabled,up,100540000017245077,Arabic,Technical
443465682,12,August,2021,14,22,683400516,Other,,,115010000023473699,Arabic,Technical
413811120,25,May,2021,15,39,225215336,Other,,,107250000026819726,Arabic,Technical
388632342,15,March,2021,22,54,952408213,Other,enabled,up,115182230005522049,Arabic,Technical
418236578,8,June,2021,22,27,501910255,Other,,,114372230003819259,Arabic,Technical
428035718,23,June,2021,18,50,242356582,Other,,,113602230006444100,Arabic,Technical
467665852,1,November,2021,19,20,882269463,Other,,,109762230007847642,Arabic,Technical
210656901,10,08,2023,20,42,452310868,Other,,,120880000100011632,Other,
415621821,31,May,2021,11,42,228202134,XDSL,,,137550000115695189,Arabic,Technical
416554223,3,June,2021,10,53,482224023,Other,,,112012230003753372,Arabic,Technical
465230688,24,October,2021,22,22,481942465,Other,enabled,up,104610000036612720,Arabic,Technical
3665776,27,07,2022,8,35,962883447,Other,,,105350000062710913,Arabic,
412191960,9,February,2021,18,58,453226872,Other,,,114142230006863051,Arabic,Technical
412530262,10,February,2021,18,51,244600967,Other,enabled,up,116500000101493752,Arabic,Technical
364523223,1,11,2024,9,55,242177935,Other,,,135770000110321474,Arabic,
413712464,14,February,2021,15,51,222525370,Technical,,,109490000016852829,Arabic,Technical
443689342,13,August,2021,11,20,228575302,Other,enabled,down,102480000025107892,Arabic,Technical
464445089,29,04,2025,12,50,242118221,Other,,,114080000046294809,Arabic,
471755883,15,November,2021,11,32,824302549,XDSL,enabled,down,114082230002169925,Arabic,Technical
401014753,14,April,2021,14,9,502113937,Other,,,112342230007607422,Arabic,Technical
504898180,26,February,2022,22,27,235525698,Other,,,102860000019382427,Arabic,Technical
532899814,19,May,2022,20,6,663148140,Other,,,102620000047601082,Other,Technical
516511428,30,March,2022,20,27,683222986,Other,enabled,up,115532230006587534,Arabic,Technical
431511564,3,July,2021,23,39,228836353,Other,,,100570000095535632,Arabic,Technical
476823319,2,December,2021,12,47,952174024,Other,,,121800000049031942,Arabic,Technical
546515916,25,June,2022,12,10,402143467,Other,enabled,up,101360000111649338,Arabic,Technical
439304077,29,July,2021,18,16,452843184,Other,enabled,up,111402230007063988,Arabic,Technical
258274393,1,11,2023,19,46,452613214,Other,,,106510000105677029,Other,
463593399,19,October,2021,14,6,503418758,Other,disabled,down,113082230005726604,Arabic,Technical
452155971,13,September,2021,17,53,932622603,Other,enabled,down,111670000047366380,Arabic,Technical
524891473,24,April,2022,20,54,237322845,Other,enabled,down,104030000024695932,Arabic,Technical
401598554,7,January,2021,13,0,222411340,Sales,,,107380000036472158,Arabic,Sales
545957014,24,June,2022,0,5,33720710,Technical,enabled,down,111062230005636957,Arabic,Sales
424527347,18,June,2021,9,55,238401808,Other,,,120630000081692805,Arabic,Technical
388482788,15,March,2021,16,55,401981411,XDSL,,,112690000078575698,Arabic,Technical
467298716,31,October,2021,17,12,223710036,XDSL,enabled,up,120290000049319796,Arabic,Sales
490653741,14,January,2022,23,8,404650358,Other,enabled,up,102380000121476971,Arabic,Technical
537127266,31,May,2022,14,53,233675009,Other,enabled,up,111452230001421831,Arabic,Technical
523133729,19,April,2022,19,53,404264632,Other,,,113830000049444200,Other,Technical
410673597,14,May,2021,22,26,453178010,Technical,,,107240000029091095,Arabic,Technical
471570704,14,November,2021,18,13,452438442,XDSL,enabled,up,112470000027829901,Arabic,Technical
471716649,15,November,2021,4,0,33801308,Technical,enabled,down,108720000011993253,Arabic,Technical
413445105,13,February,2021,18,18,34193490,XDSL,enabled,down,115790000090208453,Arabic,Technical
489198369,10,January,2022,6,51,224840866,Other,enabled,up,111682230000747823,Arabic,Technical
521940801,16,April,2022,14,33,473053407,XDSL,enabled,up,115592230006565290,Arabic,Sales
472020754,16,November,2021,7,33,503473269,Other,enabled,up,109810000017932905,Arabic,Technical
471551046,14,November,2021,17,17,228784199,XDSL,enabled,up,103920000023796558,Arabic,Technical
436284317,18,July,2021,18,55,884823256,Other,enabled,down,115260000045532883,Arabic,Technical
451545029,11,September,2021,13,34,483787208,XDSL,enabled,up,107020000034535394,Arabic,Technical
390827269,22,March,2021,19,42,228805811,Sales,,,117310000071508865,Arabic,Sales
446138128,22,August,2021,9,54,962499510,Other,,,120530000044272914,Arabic,Technical
391393023,24,March,2021,2,41,236947379,Other,,,109890000015550788,Arabic,Technical
463971568,20,October,2021,18,7,453425456,XDSL,enabled,up,105890000025475816,Arabic,Technical
506009826,2,March,2022,21,28,244285359,XDSL,enabled,up,102060000025566945,Arabic,Technical
505191906,27,February,2022,23,21,571978913,Other,,,108470000020620058,Arabic,Technical
523921673,21,April,2022,21,48,35399280,Other,enabled,up,116482230003805554,Arabic,Technical
540492445,9,June,2022,20,34,226521105,Other,,,104130000064593888,Arabic,Technical
487998059,5,January,2022,21,37,683266517,XDSL,enabled,up,103770000033987194,Arabic,Technical
393582301,29,March,2021,21,22,35424317,Other,,,115180000069514134,Arabic,Technical
249955646,29,01,2024,9,40,572306316,Other,,,102750000028734281,Arabic,
513270803,23,March,2022,20,59,881955271,Other,enabled,up,101362230006419569,Arabic,Technical
427959044,23,June,2021,15,17,33807011,Other,enabled,up,111612230002342519,Arabic,Technical
535985440,28,May,2022,18,53,236653678,XDSL,enabled,down,105250000032829069,Arabic,Technical
504775523,26,February,2022,18,8,643029203,XDSL,enabled,up,104380000054408504,Arabic,Technical
448934474,1,September,2021,14,18,225918361,XDSL,enabled,up,121480000103136241,Arabic,Technical
465590810,26,October,2021,4,34,233819374,Other,disabled,down,111652230005720545,Arabic,Technical
412509075,10,February,2021,17,54,404732388,XDSL,enabled,up,108660000032922647,Arabic,Technical
447791506,28,August,2021,12,23,225130370,XDSL,enabled,up,113102230005900939,Arabic,Technical
395321468,2,April,2021,19,45,32923911,Other,,,108740000018485715,Arabic,Technical
493822750,24,January,2022,23,2,227224507,XDSL,enabled,up,102350000034038345,Arabic,Technical
404724760,16,January,2021,14,39,452305101,XDSL,enabled,down,116420000035910165,Arabic,Technical
469582837,7,November,2021,21,14,501934341,Other,enabled,up,108882230002953650,Arabic,Technical
414737730,28,May,2021,14,36,501934341,Other,,,108882230002953650,Arabic,Technical
422112167,15,June,2021,12,7,232967189,XDSL,,,111962230008160826,Arabic,Technical
517794978,3,April,2022,13,34,228033848,Other,enabled,up,100130000057276237,Arabic,Technical
425805349,19,June,2021,21,44,552820712,XDSL,,,115482230006102796,Arabic,Technical
403900251,14,January,2021,1,22,452751914,Other,enabled,up,103930000032229037,Arabic,Sales
399254357,8,April,2021,19,6,236603397,Other,,,110922230002202969,Arabic,Technical
411855084,18,May,2021,21,41,243968496,XDSL,,,103872230005792825,Arabic,Technical
455276669,23,September,2021,18,3,952408213,Other,,,115182230005522049,Arabic,Technical
504123082,24,February,2022,18,30,502638890,XDSL,enabled,up,114152230007640821,Arabic,Sales
426751861,21,June,2021,13,46,233704886,Other,,,112372230001829216,Arabic,Technical
409413922,10,May,2021,17,36,223290440,Other,,,115740000028394851,Arabic,Technical
446044078,21,August,2021,21,18,221780143,XDSL,enabled,up,106320000057823098,Arabic,Technical
495182339,29,January,2022,6,4,663588696,Other,,,103630000112825287,Arabic,Technical
412773067,11,February,2021,14,6,552278980,XDSL,enabled,up,104260000033534620,Arabic,Technical
519120044,7,April,2022,12,48,483795361,Other,enabled,down,118960000046627796,Arabic,Technical
443531588,12,August,2021,18,32,225224415,XDSL,enabled,up,115942230007857214,Arabic,Technical
405213979,27,April,2021,14,4,35133130,Other,,,113340000026899463,Arabic,Sales
410051048,12,May,2021,16,5,227080244,Other,,,116242230007845729,Arabic,Technical
405822027,29,April,2021,13,19,482816616,XDSL,,,136380000111409268,Arabic,Technical
525472233,26,April,2022,17,38,220362994,Other,enabled,up,113350000060136999,Arabic,Technical
203965407,17,10,2023,15,34,572434553,Other,,,102490000081667311,Arabic,
520021225,10,April,2022,12,30,572616082,Other,enabled,up,115610000090214600,Arabic,Technical
476910677,2,December,2021,17,45,235090435,XDSL,enabled,up,109030000021252960,Arabic,Sales
420965323,13,June,2021,21,13,453743334,Other,,,109110000016748073,Arabic,Technical
541070473,11,June,2022,16,42,222457267,Other,enabled,up,111340000074003740,Arabic,Technical
479157579,10,December,2021,14,55,501993039,Other,,,107530000022606801,Arabic,Technical
385056391,4,March,2021,17,44,503383529,Other,,,102112230001621399,Arabic,Technical
499740284,11,February,2022,12,48,226236863,Other,enabled,up,113142230003804091,Arabic,Technical
465980416,27,October,2021,14,31,504705863,XDSL,disabled,disabled,115162230006255010,Arabic,Technical
410331888,3,February,2021,22,11,481989598,Other,enabled,up,105240000030293290,Arabic,Technical
444649678,16,August,2021,18,49,226880997,Other,,,111782230003197618,Other,Technical
425475285,19,June,2021,15,37,483755728,Other,,,108750000023318628,Arabic,Technical
504332466,25,February,2022,11,59,237920568,Other,enabled,down,116170000029923275,Arabic,Technical
458727984,2,October,2021,22,8,244291173,Other,,,113170000023407402,Arabic,Technical
144289267,22,06,2023,21,22,623552495,Other,,,112542230005110545,Arabic,
500227467,12,February,2022,22,7,222747285,XDSL,enabled,up,111292230001587752,Arabic,Technical
85108449,13,02,2023,18,1,227107140,Other,,,112742230002652165,Arabic,
426776573,21,June,2021,14,11,34387660,Other,,,111962230005376245,Arabic,Technical
431857471,4,July,2021,23,57,33215327,Other,,,114430000111569402,Arabic,Technical
413553875,24,May,2021,18,8,553612882,XDSL,,,115202230003267155,Arabic,Technical
